"","X","year","site","transect","plantID","h_apical","h_apical.next","stem_width","aliveJune","fec.flower","N_pods","seedling","per.leaves.dam","herb_avg"
"2510",3307,2014,"BLD1",40,"146",30.5,NA,9.2,1,0,NA,0,NA,0.5
"2511",3308,2014,"BLD1",40,"147",51.5,96.8,9.8,1,1,4,0,NA,0.611111111111111
"2512",3309,2014,"BLD1",40,"166",63.7,98.3,10.8,1,1,5,0,NA,1
"2513",3310,2014,"BLD1",40,"165",61.8,101.6,9.5,1,1,3,0,NA,0.083333333333333
"2514",3311,2014,"BLD1",40,"4063",NA,NA,NA,0,NA,NA,NA,NA,NA
"2515",3312,2014,"BLD1",40,"167",65.4,113.4,9.7,1,1,6,0,NA,0
"2516",3313,2014,"BLD1",40,"172",7.6,NA,6,1,0,NA,0,NA,0
"2517",3314,2014,"BLD1",40,"171",59.7,106.7,11.2,1,1,5,0,NA,0.454545454545455
"2518",3315,2014,"BLD1",40,"177",69.7,105.5,10.2,1,1,5,0,NA,0.3
"2519",3316,2014,"BLD1",40,"182",35.5,NA,4.2,1,0,NA,0,NA,0.272727272727273
"2520",3317,2014,"BLD1",40,"181",62.7,111,10.7,1,1,5,0,NA,0.45
"2521",3318,2014,"BLD1",40,"183",70.2,91.3,11.7,1,1,4,0,NA,0.333333333333333
"2522",3319,2014,"BLD1",40,"187",69.5,136,15.9,1,1,13,0,NA,0
"2523",3320,2014,"BLD1",40,"188",78.9,128,13.4,1,1,3,0,NA,0.4375
"2524",3321,2014,"BLD1",40,"189",62.5,80,7.5,1,1,1,0,NA,0.230769230769231
"2525",3322,2014,"BLD1",40,"192",60.5,101.3,9.5,1,1,4,0,NA,0
"2526",3323,2014,"BLD1",40,"193",62,NA,8.4,1,1,NA,0,NA,0
"2527",3324,2014,"BLD1",40,"194",81.5,93.5,14.6,1,1,4,0,NA,0.55
"2528",3325,2014,"BLD1",40,"190",79.1,121.3,12,1,1,7,0,NA,0.952380952380952
"2529",3326,2014,"BLD1",40,"195",79.2,133,12.3,1,1,4,0,NA,0.631578947368421
"2530",3327,2014,"BLD1",40,"196",83.8,135,12.7,1,1,6,0,NA,0.5
"2531",3328,2014,"BLD1",40,"198",78.5,122,12,1,1,6,0,NA,0.473684210526316
"2532",3329,2014,"BLD1",40,"199",76.2,103.9,11.8,1,1,2,0,NA,0.65
"2533",3330,2014,"BLD1",40,"202",60.1,102.4,11.1,1,1,3,0,NA,0.6
